video_name,original_frames,final_frames,output_npy
CHOCAR_ORACION_1,155,117,./full_videos_output/CHOCAR_ORACION_1_full.npy
CIEN_ORACION_1,170,102,./full_videos_output/CIEN_ORACION_1_full.npy
CIEN_ORACION_2,159,150,./full_videos_output/CIEN_ORACION_2_full.npy
CINCUENTA_ORACION_1,177,97,./full_videos_output/CINCUENTA_ORACION_1_full.npy
CIUDAD_ORACION_1,205,145,./full_videos_output/CIUDAD_ORACION_1_full.npy
COMBI_ORACION_1,154,91,./full_videos_output/COMBI_ORACION_1_full.npy
COMPRAR_ORACION_2,184,142,./full_videos_output/COMPRAR_ORACION_2_full.npy
CONTAR_ORACION_2,199,154,./full_videos_output/CONTAR_ORACION_2_full.npy
CONTAR-DINERO_ORACION_1,268,266,./full_videos_output/CONTAR-DINERO_ORACION_1_full.npy
CONTAR-DINERO_ORACION_2,196,132,./full_videos_output/CONTAR-DINERO_ORACION_2_full.npy
CONTAR-NUMEROS_ORACION_1,212,110,./full_videos_output/CONTAR-NUMEROS_ORACION_1_full.npy
CONTAR-NUMEROS_ORACION_2,197,153,./full_videos_output/CONTAR-NUMEROS_ORACION_2_full.npy
CONTAR-NUMEROS_ORACION_3,205,143,./full_videos_output/CONTAR-NUMEROS_ORACION_3_full.npy
CORNUDO_ORACION_2,184,112,./full_videos_output/CORNUDO_ORACION_2_full.npy
CORNUDO_ORACION_3,163,46,./full_videos_output/CORNUDO_ORACION_3_full.npy
CORRER_ORACION_1,205,147,./full_videos_output/CORRER_ORACION_1_full.npy
CORTINA_ORACION_1,160,90,./full_videos_output/CORTINA_ORACION_1_full.npy
CORTINA_ORACION_2,197,121,./full_videos_output/CORTINA_ORACION_2_full.npy
CORTINA_ORACION_3,174,105,./full_videos_output/CORTINA_ORACION_3_full.npy
CUAL_ORACION_1,210,169,./full_videos_output/CUAL_ORACION_1_full.npy
CUANDO_ORACION_1,192,126,./full_videos_output/CUANDO_ORACION_1_full.npy
CUANDO_ORACION_2,165,116,./full_videos_output/CUANDO_ORACION_2_full.npy
CUARENTA_ORACION_1,183,122,./full_videos_output/CUARENTA_ORACION_1_full.npy
CUARENTA_ORACION_2,219,183,./full_videos_output/CUARENTA_ORACION_2_full.npy
CUATRO_ORACION_1,297,230,./full_videos_output/CUATRO_ORACION_1_full.npy
CUERPO_ORACION_1,118,76,./full_videos_output/CUERPO_ORACION_1_full.npy
CUERPO_ORACION_2,98,51,./full_videos_output/CUERPO_ORACION_2_full.npy
CUNA_ORACION_1,243,173,./full_videos_output/CUNA_ORACION_1_full.npy
CUNA_ORACION_2,247,201,./full_videos_output/CUNA_ORACION_2_full.npy
DAR-PASOS_ORACION_1,462,432,./full_videos_output/DAR-PASOS_ORACION_1_full.npy
DEBAJO_ORACION_1,161,133,./full_videos_output/DEBAJO_ORACION_1_full.npy
DEBAJO_ORACION_2,161,109,./full_videos_output/DEBAJO_ORACION_2_full.npy
DEBAJO_ORACION_3,246,188,./full_videos_output/DEBAJO_ORACION_3_full.npy
DECIRME_ORACION_1,94,48,./full_videos_output/DECIRME_ORACION_1_full.npy
DENTRO_ORACION_1,127,88,./full_videos_output/DENTRO_ORACION_1_full.npy
DESAPARECER_ORACION_1,109,46,./full_videos_output/DESAPARECER_ORACION_1_full.npy
DESAPARECER_ORACION_2,103,59,./full_videos_output/DESAPARECER_ORACION_2_full.npy
DESPUES_ORACION_1,95,41,./full_videos_output/DESPUES_ORACION_1_full.npy
DESPUES_ORACION_2,96,42,./full_videos_output/DESPUES_ORACION_2_full.npy
DESPUES_ORACION_3,94,42,./full_videos_output/DESPUES_ORACION_3_full.npy
DESPUES_ORACION_4,125,63,./full_videos_output/DESPUES_ORACION_4_full.npy
DIA_ORACION_1,166,107,./full_videos_output/DIA_ORACION_1_full.npy
DIECINUEVE_ORACION_1,168,102,./full_videos_output/DIECINUEVE_ORACION_1_full.npy
DIECINUEVE_ORACION_2,211,134,./full_videos_output/DIECINUEVE_ORACION_2_full.npy
DIECINUEVE_ORACION_3,172,122,./full_videos_output/DIECINUEVE_ORACION_3_full.npy
DIECIOCHO_ORACION_1,155,108,./full_videos_output/DIECIOCHO_ORACION_1_full.npy
DIECIOCHO_ORACION_2,191,142,./full_videos_output/DIECIOCHO_ORACION_2_full.npy
DIECIOCHO_ORACION_3,174,119,./full_videos_output/DIECIOCHO_ORACION_3_full.npy
DIECISEIS_ORACION_1,151,109,./full_videos_output/DIECISEIS_ORACION_1_full.npy
DIECISEIS_ORACION_2,154,111,./full_videos_output/DIECISEIS_ORACION_2_full.npy
DIECISEIS_ORACION_3,182,129,./full_videos_output/DIECISEIS_ORACION_3_full.npy
DIECISIETE_ORACION_1,157,112,./full_videos_output/DIECISIETE_ORACION_1_full.npy
DIECISIETE_ORACION_2,186,110,./full_videos_output/DIECISIETE_ORACION_2_full.npy
DIECISIETE_ORACION_3,177,100,./full_videos_output/DIECISIETE_ORACION_3_full.npy
DIECISIETE_ORACION_4,148,90,./full_videos_output/DIECISIETE_ORACION_4_full.npy
DIEZ_ORACION_1,255,237,./full_videos_output/DIEZ_ORACION_1_full.npy
DIFICIL_ORACION_1,133,44,./full_videos_output/DIFICIL_ORACION_1_full.npy
DIFICIL_ORACION_2,119,63,./full_videos_output/DIFICIL_ORACION_2_full.npy
DIFICIL_ORACION_3,117,60,./full_videos_output/DIFICIL_ORACION_3_full.npy
DINERO_ORACION_1,110,44,./full_videos_output/DINERO_ORACION_1_full.npy
DINERO_ORACION_2,84,45,./full_videos_output/DINERO_ORACION_2_full.npy
DOCE_ORACION_2,238,198,./full_videos_output/DOCE_ORACION_2_full.npy
DOCE_ORACION_3,203,134,./full_videos_output/DOCE_ORACION_3_full.npy
DONDE_ORACION_1,109,59,./full_videos_output/DONDE_ORACION_1_full.npy
DONDE_ORACION_2,93,48,./full_videos_output/DONDE_ORACION_2_full.npy
DONDE_ORACION_3,123,95,./full_videos_output/DONDE_ORACION_3_full.npy
DORMIR_ORACION_1,117,60,./full_videos_output/DORMIR_ORACION_1_full.npy
DORMIR_ORACION_2,113,70,./full_videos_output/DORMIR_ORACION_2_full.npy
DORMIR_ORACION_3,109,67,./full_videos_output/DORMIR_ORACION_3_full.npy
EMPEZAR_ORACION_1,92,81,./full_videos_output/EMPEZAR_ORACION_1_full.npy
EMPEZAR_ORACION_2,92,62,./full_videos_output/EMPEZAR_ORACION_2_full.npy
ENCONTRAR_ORACION_1,127,103,./full_videos_output/ENCONTRAR_ORACION_1_full.npy
ENCONTRAR_ORACION_2,100,71,./full_videos_output/ENCONTRAR_ORACION_2_full.npy
